Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
1,S,-62.144163246338266,-33.80020220924775,104.111862,BC,18/19,1
4,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4
6,N,-62.163615369826594,-33.80809159971218,104.233162,BC,18/19,6
7,M,-62.16477323431994,-33.81367146108375,103.859932,BC,18/19,7
9,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9
10,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10
14,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14
15,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15
23,S,-62.20742896225508,-33.844642692435954,115.140739,BC,18/19,23
25,N,-62.17222988165713,-33.81601874228309,103.58934,BC,18/19,25
26,N,-62.17375826278836,-33.81297880842235,103.58934,BC,18/19,26
27,N,-62.17422140858571,-33.81782725927307,103.561348,BC,18/19,27
28,A,-62.17727817084816,-33.81444106857418,103.561348,BC,18/19,28
30,M,-62.18371589743121,-33.81686528691121,103.253433,BC,18/19,30
33,S,-62.052854052392426,-33.75454492603374,102.544304,BC,18/19,33
34,M,-62.05540135427779,-33.75200341815144,102.544304,BC,18/19,34
38,P,-62.07987860966729,-33.765653511638085,100.799461,BC,18/19,38
39,P,-62.08897942458506,-33.77395031991701,102.068436,BC,18/19,39
45,M,-62.037396561406155,-33.74570708551937,97.011208,BC,18/19,45
46,S,-62.03952703207393,-33.74407034842987,97.011208,BC,18/19,46
49,N,-62.14194014651103,-33.87944788148834,110.79263300000001,BC,18/19,49
52,M,-62.141801202771816,-33.884907739368664,108.525276,BC,18/19,52
54,S,-62.13675291358079,-33.88840647867912,108.29200700000001,BC,18/19,54
55,N,-62.13087096195458,-33.886714798468226,106.845757,BC,18/19,55
57,S,-62.146478975324975,-33.870757528038055,113.059998,BC,18/19,57
60,S,-62.14620108784658,-33.8759872272956,108.62791399999999,BC,18/19,60
61,N,-62.14184751735156,-33.87617948954359,110.80196399999998,BC,18/19,61
62,N,-62.145784256628964,-33.875179721124226,110.80196399999998,BC,18/19,62
64,S,-62.147822098137254,-33.87825589422206,107.27496299999999,BC,18/19,64
65,N,-62.1231827417187,-33.89413487386679,108.60925300000001,BC,18/19,65
66,M,-62.121793304326665,-33.89809454630533,108.60925300000001,BC,18/19,66
69,M,-62.11975546281838,-33.90170806748167,107.06968700000002,BC,18/19,69
70,M,-62.12276591050109,-33.89897871989309,107.06968700000002,BC,18/19,70
71,M,-62.12049649609412,-33.905513631651715,104.38245400000001,BC,18/19,71
72,S,-62.12438692079178,-33.90916527593218,104.38245400000001,BC,18/19,72
73,N,-62.12975941204094,-33.89167440226404,106.85508700000001,BC,18/19,73
74,M,-62.13383509505756,-33.89321220533399,106.85508700000001,BC,18/19,74
75,M,-62.127767885112384,-33.89359665176907,105.67008999999999,BC,18/19,75
76,M,-62.1307783327951,-33.89578796335753,105.67008999999999,BC,18/19,76
77,M,-62.12605424566221,-33.89655683127237,106.481857,BC,18/19,77
78,M,-62.12906469334493,-33.89828675873475,106.481857,BC,18/19,78
79,M,-62.125313212386466,-33.897633234707016,106.715126,BC,18/19,79
80,N,-62.12387746041472,-33.90005509275592,106.715126,BC,18/19,80
81,M,-62.204650087471045,-33.86064330361107,111.80968500000002,BC,18/19,81
82,S,-62.20705844561722,-33.86564287989032,111.80968500000002,BC,18/19,82
83,M,-62.20006494407736,-33.86133557009505,112.51881399999999,BC,18/19,83
85,M,-62.19626714853917,-33.86218166595385,113.526527,BC,18/19,85
86,S,-62.198027102569064,-33.86679658668831,113.526527,BC,18/19,86
88,S,-62.19506296946608,-33.86752725959644,116.92289699999999,BC,18/19,88
89,S,-62.20858682674844,-33.847989221964845,110.17681100000001,BC,18/19,89
92,S,-62.2176181697966,-33.85191257240996,111.28716299999999,BC,18/19,92
93,N,-62.211689903590624,-33.85898953318211,107.79748500000001,BC,18/19,93
94,N,-62.214005632577326,-33.863873832519786,107.79748500000001,BC,18/19,94
100,M,-62.162550134492705,-33.873410871384124,115.91518400000001,BC,18/19,100
101,P,-62.15662186828674,-33.86956541939229,116.633652,BC,18/19,101
102,M,-62.158381822316635,-33.87425684757276,116.633652,BC,18/19,102
104,M,-62.15337984770537,-33.8746798325226,116.97888200000001,BC,18/19,104
105,S,-62.19015362401425,-33.86337387770665,114.394279,BC,18/19,105
106,S,-62.191311488507615,-33.86791182177305,114.394279,BC,18/19,106
108,S,-62.185892682678706,-33.86914240909681,117.072189,BC,18/19,108
109,R,-62.17741711458736,-33.866642760016056,111.68838500000001,BC,18/19,109
110,S,-62.179547585255136,-33.8702576135361,111.68838500000001,BC,18/19,110
112,S,-62.17255408371528,-33.87152662155488,114.049049,BC,18/19,112
113,S,-62.07075463745968,-33.89413487386679,109.057129,BC,18/19,113
115,M,-62.073487197664,-33.89021346366552,109.215752,BC,18/19,115
117,N,-62.07520083711415,-33.888137349980504,107.424255,BC,18/19,117
118,N,-62.06913362716899,-33.885330671525004,107.424255,BC,18/19,118
119,N,-62.077146049462996,-33.88521532659939,107.162994,BC,18/19,119
120,P,-62.07154198531514,-33.88267769878109,107.162994,BC,18/19,120
121,S,-62.05366455753777,-33.912855199658644,110.298111,BC,18/19,121
123,S,-62.05899073420719,-33.90755088406846,108.31066899999999,BC,18/19,123
126,S,-62.05843495925039,-33.899094046206876,112.07093799999998,BC,18/19,126
128,S,-62.06024122786002,-33.897479463619646,112.79873700000002,BC,18/19,128
129,M,-62.08180066472627,-33.85289338186664,108.021423,BC,18/19,129
130,M,-62.078419700405675,-33.85585497344607,108.021423,BC,18/19,130
132,S,-62.07381139972214,-33.85112407036686,108.889175,BC,18/19,132
134,S,-62.070337806242044,-33.847816128824576,107.32161699999999,BC,18/19,134
