Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId,B_1,G_1,R_1,NIR_1,SWIR1_1,SWIR2_1,NVDI_1,B_2,G_2,R_2,NIR_2,SWIR1_2,SWIR2_2,NVDI_2,B_3,G_3,R_3,NIR_3,SWIR1_3,SWIR2_3,NVDI_3,B_4,G_4,R_4,NIR_4,SWIR1_4,SWIR2_4,NVDI_4,B_5,G_5,R_5,NIR_5,SWIR1_5,SWIR2_5,NVDI_5,B_6,G_6,R_6,NIR_6,SWIR1_6,SWIR2_6,NVDI_6,B_7,G_7,R_7,NIR_7,SWIR1_7,SWIR2_7,NVDI_7,B_8,G_8,R_8,NIR_8,SWIR1_8,SWIR2_8,NVDI_8,B_9,G_9,R_9,NIR_9,SWIR1_9,SWIR2_9,NVDI_9,B_10,G_10,R_10,NIR_10,SWIR1_10,SWIR2_10,NVDI_10,B_11,G_11,R_11,NIR_11,SWIR1_11,SWIR2_11,NVDI_11,B_12,G_12,R_12,NIR_12,SWIR1_12,SWIR2_12,NVDI_12,B_13,G_13,R_13,NIR_13,SWIR1_13,SWIR2_13,NVDI_13,B_14,G_14,R_14,NIR_14,SWIR1_14,SWIR2_14,NVDI_14,B_15,G_15,R_15,NIR_15,SWIR1_15,SWIR2_15,NVDI_15,B_16,G_16,R_16,NIR_16,SWIR1_16,SWIR2_16,NVDI_16,B_17,G_17,R_17,NIR_17,SWIR1_17,SWIR2_17,NVDI_17,B_18,G_18,R_18,NIR_18,SWIR1_18,SWIR2_18,NVDI_18,B_19,G_19,R_19,NIR_19,SWIR1_19,SWIR2_19,NVDI_19,B_20,G_20,R_20,NIR_20,SWIR1_20,SWIR2_20,NVDI_20,B_21,G_21,R_21,NIR_21,SWIR1_21,SWIR2_21,NVDI_21,B_22,G_22,R_22,NIR_22,SWIR1_22,SWIR2_22,NVDI_22,B_23,G_23,R_23,NIR_23,SWIR1_23,SWIR2_23,NVDI_23,B_24,G_24,R_24,NIR_24,SWIR1_24,SWIR2_24,NVDI_24
1,S,-62.144163246338266,-33.80020220924775,104.111862,BC,18/19,1,995.0,1302.0,1476.0,2994.0,4019.0,2546.0,0.3395973154362416,519.0,792.0,597.0,2600.0,2194.0,1156.0,0.6265248670628715,152.0,580.0,205.0,5688.0,2634.0,1226.0,0.9304259290683862,59.0,318.0,84.0,5976.0,2105.0,906.0,0.9722772277227724,128.0,385.0,117.0,5596.0,2319.0,1010.0,0.9590407841764396,81.0,403.0,140.0,5428.0,2292.0,1003.0,0.9497126436781608,299.0,918.0,974.0,3116.0,2128.0,1197.0,0.523716381418093,310.0,589.0,1023.0,1810.0,2761.0,1744.0,0.2777973879279915,662.0,927.0,1424.0,2070.0,2848.0,2117.0,0.1848883800801374,794.0,1072.0,1526.0,2188.0,3464.0,2705.0,0.1782444803446419,651.0,964.0,1340.0,1918.0,3289.0,2573.0,0.17740945365254754,547.0,859.0,1186.0,1754.0,3199.0,2521.0,0.19319727891156466,674.0,884.0,1262.0,1890.0,3232.0,2525.0,0.19923857868020306,689.0,944.0,1350.0,1976.0,3348.0,2555.0,0.18821407095610346,678.0,938.0,1390.0,2098.0,3454.0,2667.0,0.2029816513761468,706.0,1030.0,1492.0,2170.0,3590.0,2711.0,0.1851447296559257,849.0,1084.0,1460.0,2126.0,3573.0,2807.0,0.1857222532069158,971.0,1234.0,1648.0,2392.0,3877.0,2998.0,0.18415841584158416,1007.0,1248.0,1670.0,2404.0,3843.0,3032.0,0.18016691212567498,1070.0,1216.0,1502.0,2084.0,3274.0,2757.0,0.162297824874512,1100.0,1314.0,1772.0,2494.0,4286.0,3608.0,0.16924519456165027,5772.0,5028.0,5008.0,5680.0,5187.0,5322.0,0.06287425149700597,943.0,1288.0,1534.0,3200.0,4029.0,3042.0,0.35192226446979297,855.0,1130.0,1398.0,2806.0,3638.0,2786.0,0.3349191246431969
4,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4,2178.0,2220.0,2034.0,4268.0,3489.0,3042.0,0.35449063789273244,391.0,633.0,398.0,5500.0,1949.0,819.0,0.865038996269922,224.0,551.0,401.0,3696.0,1811.0,876.0,0.8042470100073225,312.0,565.0,860.0,1700.0,2615.0,1824.0,0.328125,395.0,578.0,914.0,1360.0,2620.0,1974.0,0.1961301671064204,308.0,529.0,839.0,1242.0,2462.0,1946.0,0.19365689572321,949.0,1360.0,1958.0,3038.0,4319.0,3151.0,0.21617293835068052,811.0,1236.0,1706.0,2862.0,3971.0,2747.0,0.2530647985989492,535.0,911.0,1010.0,2710.0,2591.0,1605.0,0.456989247311828,521.0,938.0,908.0,3128.0,3075.0,1946.0,0.5500495540138751,463.0,774.0,1124.0,2598.0,3183.0,2133.0,0.3960236432025793,435.0,782.0,920.0,2364.0,2930.0,2091.0,0.4397076735688185,491.0,719.0,957.0,2566.0,2865.0,2020.0,0.4567130286687482,505.0,874.0,1148.0,2526.0,3167.0,2230.0,0.3750680457267284,664.0,921.0,1348.0,2188.0,3742.0,2813.0,0.23755656108597284,737.0,1034.0,1486.0,2254.0,3969.0,2934.0,0.2053475935828877,814.0,1024.0,1432.0,2072.0,3726.0,2986.0,0.18264840182648398,959.0,1178.0,1620.0,2368.0,4122.0,3198.0,0.18756268806419255,1002.0,1168.0,1610.0,2346.0,4033.0,3180.0,0.18604651162790695,1056.0,1212.0,1502.0,2084.0,3363.0,2888.0,0.162297824874512,984.0,1266.0,1780.0,2596.0,4408.0,3610.0,0.18647166361974407,6236.0,5884.0,5592.0,6152.0,5320.0,5213.0,0.04768392370572208,952.0,1270.0,1574.0,3300.0,4018.0,2956.0,0.35412392285597044,765.0,1032.0,1290.0,2702.0,3453.0,2540.0,0.3537074148296593
6,N,-62.163615369826594,-33.80809159971218,104.233162,BC,18/19,6,400.0,470.0,467.0,1490.0,616.0,394.0,0.5227388860500767,8312.0,8076.0,7900.0,9424.0,7225.0,6377.0,0.08797044562456707,151.0,480.0,371.0,2354.0,611.0,330.0,0.7277064220183487,507.0,810.0,934.0,2038.0,1626.0,1191.0,0.3714670255720054,239.0,412.0,456.0,1850.0,1245.0,888.0,0.6045099739809193,327.0,611.0,653.0,1992.0,1456.0,1019.0,0.5062381852551985,598.0,918.0,1104.0,2182.0,2076.0,1635.0,0.3280584297017651,318.0,573.0,706.0,1906.0,1572.0,1075.0,0.4594180704441042,312.0,572.0,660.0,1692.0,1346.0,910.0,0.4387755102040816,413.0,641.0,821.0,1876.0,1808.0,1332.0,0.3911753800519096,342.0,632.0,846.0,1862.0,1868.0,1379.0,0.37518463810930575,236.0,448.0,599.0,1542.0,1460.0,1017.0,0.4404483886034563,376.0,545.0,810.0,1648.0,1788.0,1290.0,0.3409275834011392,550.0,852.0,1196.0,1946.0,2187.0,1661.0,0.2387014640356461,835.0,1252.0,1574.0,2352.0,2580.0,1990.0,0.19816607233825775,1040.0,1372.0,1736.0,2388.0,2670.0,1993.0,0.15809893307468478,453.0,656.0,859.0,1632.0,1641.0,1192.0,0.31031714171015656,1338.0,1738.0,2048.0,3228.0,3177.0,2568.0,0.2236542835481425,1234.0,1516.0,1830.0,3132.0,2962.0,2464.0,0.2623941958887545,849.0,1092.0,1192.0,2524.0,2014.0,1596.0,0.35844994617868675,806.0,1130.0,1260.0,2976.0,2400.0,1933.0,0.4050991501416431,3438.0,3034.0,2850.0,3970.0,3687.0,3636.0,0.16422287390029325,685.0,1066.0,1268.0,2876.0,2308.0,1842.0,0.388030888030888,635.0,918.0,1168.0,2610.0,2124.0,1679.0,0.3816834303864479
7,M,-62.16477323431994,-33.81367146108375,103.859932,BC,18/19,7,730.0,937.0,799.0,3356.0,2853.0,1869.0,0.6154031287605295,7412.0,7248.0,7108.0,8036.0,6459.0,5916.0,0.0612783940834654,83.0,327.0,153.0,4336.0,1617.0,762.0,0.9318333704611272,102.0,290.0,196.0,3608.0,1499.0,742.0,0.8969505783385909,147.0,316.0,246.0,2910.0,1495.0,774.0,0.844106463878327,120.0,316.0,232.0,2788.0,1482.0,783.0,0.8463576158940397,168.0,378.0,388.0,2320.0,1578.0,884.0,0.7134416543574594,223.0,470.0,745.0,1884.0,1943.0,1203.0,0.4332445796880943,209.0,357.0,541.0,995.0,1757.0,1343.0,0.2955729166666667,155.0,307.0,487.0,963.0,1846.0,1394.0,0.32827586206896553,97.0,321.0,437.0,1222.0,1846.0,1328.0,0.4731766124171187,140.0,402.0,507.0,1492.0,2057.0,1481.0,0.4927463731865933,132.0,274.0,314.0,1758.0,1708.0,1114.0,0.696911196911197,787.0,1284.0,1634.0,3686.0,3367.0,2226.0,0.3857142857142857,251.0,903.0,679.0,4856.0,2782.0,1565.0,0.7546522131887986,281.0,856.0,633.0,5044.0,2622.0,1428.0,0.7769948916681346,559.0,1094.0,1020.0,3772.0,2550.0,1556.0,0.5742904841402338,828.0,1192.0,1736.0,3232.0,3883.0,2540.0,0.30112721417069244,827.0,1162.0,1790.0,3128.0,3990.0,2676.0,0.272061813745425,893.0,1032.0,1326.0,2000.0,3154.0,2886.0,0.2026458208057727,949.0,1232.0,1766.0,2630.0,4094.0,3517.0,0.19654231119199272,3824.0,3608.0,3406.0,4408.0,3885.0,3765.0,0.12823137957512154,843.0,1164.0,1492.0,3130.0,3860.0,2986.0,0.3543920380787538,797.0,1100.0,1418.0,2862.0,3668.0,2836.0,0.33738317757009345
9,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9,692.0,876.0,1023.0,1638.0,2388.0,1602.0,0.2311161217587373,737.0,1028.0,756.0,3406.0,2930.0,1618.0,0.6367131186929361,163.0,679.0,287.0,3902.0,2163.0,1049.0,0.8629744569109573,178.0,664.0,320.0,3764.0,1759.0,821.0,0.8432908912830558,232.0,761.0,376.0,3418.0,1914.0,922.0,0.8017923036373221,214.0,756.0,379.0,3286.0,1885.0,926.0,0.7931787175989086,810.0,1258.0,1694.0,3100.0,3480.0,2475.0,0.29328327075511057,950.0,1356.0,1860.0,2942.0,3547.0,2478.0,0.2253227821740941,706.0,971.0,1250.0,2364.0,3089.0,2279.0,0.308245711123409,462.0,683.0,837.0,1852.0,2218.0,1550.0,0.3774637411677204,673.0,961.0,1192.0,2446.0,3009.0,2091.0,0.3446948873007147,11160.0,11824.0,12352.0,10848.0,8392.0,7196.0,-0.06482758620689655,486.0,759.0,862.0,2690.0,2708.0,1785.0,0.5146396396396397,491.0,851.0,945.0,2900.0,2896.0,1939.0,0.5084525357607282,433.0,838.0,890.0,3160.0,2893.0,1903.0,0.5604938271604938,1204.0,1592.0,1864.0,3134.0,3668.0,2734.0,0.2541016406562625,957.0,1206.0,1588.0,2596.0,3738.0,2920.0,0.24091778202676864,916.0,1198.0,1632.0,2786.0,3902.0,2999.0,0.2612041647804436,1024.0,1282.0,1584.0,2928.0,3748.0,2818.0,0.2978723404255319,1001.0,1274.0,1382.0,3012.0,3062.0,2240.0,0.3709604005461994,740.0,1050.0,1118.0,3144.0,3162.0,2236.0,0.4753636790239325,6196.0,5596.0,5200.0,5856.0,4752.0,4263.0,0.0593342981186686,768.0,1096.0,1294.0,2950.0,3302.0,2386.0,0.3901979264844486,687.0,981.0,1190.0,2680.0,3048.0,2211.0,0.3850129198966408
10,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10,1164.0,1418.0,1242.0,3354.0,2002.0,1259.0,0.4595300261096606,1050.0,1112.0,894.0,2456.0,1688.0,1148.0,0.4662686567164179,147.0,517.0,372.0,2956.0,1720.0,882.0,0.7764423076923077,230.0,599.0,486.0,3096.0,1904.0,1058.0,0.7286432160804021,241.0,475.0,412.0,2588.0,1770.0,970.0,0.7253333333333334,190.0,473.0,468.0,2544.0,1875.0,1010.0,0.6892430278884463,253.0,556.0,582.0,2722.0,2122.0,1213.0,0.6476997578692494,250.0,539.0,619.0,2664.0,2118.0,1181.0,0.6229058787694182,261.0,469.0,562.0,2048.0,2183.0,1302.0,0.5693486590038315,155.0,303.0,380.0,1434.0,1487.0,889.0,0.5810363836824697,330.0,558.0,807.0,2156.0,2461.0,1537.0,0.4552818089773878,285.0,614.0,730.0,2002.0,2307.0,1447.0,0.465592972181552,266.0,416.0,669.0,1940.0,2263.0,1404.0,0.4871598313530088,282.0,514.0,902.0,2072.0,2578.0,1633.0,0.3934095494283793,293.0,634.0,957.0,2156.0,2807.0,1835.0,0.3851590106007067,1736.0,1948.0,2264.0,3494.0,3905.0,2995.0,0.2136158388329281,607.0,856.0,1310.0,2398.0,2946.0,2108.0,0.29341963322545844,775.0,1062.0,1504.0,2902.0,3634.0,2627.0,0.31729459827507944,904.0,1178.0,1460.0,3098.0,3575.0,2543.0,0.3593681439227732,724.0,946.0,1128.0,2388.0,2629.0,1928.0,0.3583617747440273,803.0,1048.0,1282.0,3006.0,3420.0,2442.0,0.4020522388059701,5768.0,5244.0,5064.0,5732.0,4846.0,4726.0,0.06187476843275287,694.0,1066.0,1160.0,3410.0,3142.0,2069.0,0.4923413566739606,604.0,966.0,1070.0,3344.0,2947.0,1880.0,0.5151789759855007
14,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14,276.0,371.0,178.0,2496.0,1994.0,1068.0,0.8668661181750187,3108.0,3250.0,2978.0,6288.0,4354.0,3543.0,0.3572199438808548,59.0,373.0,132.0,5832.0,2325.0,1042.0,0.9557344064386318,92.0,361.0,157.0,5316.0,2125.0,928.0,0.9426274438150922,191.0,613.0,303.0,4328.0,2114.0,1017.0,0.8691427337508097,204.0,714.0,620.0,3354.0,2092.0,1137.0,0.6879718168092602,314.0,529.0,917.0,1682.0,2628.0,1883.0,0.2943439784532513,816.0,1204.0,1694.0,2482.0,3734.0,2714.0,0.18869731800766285,755.0,970.0,1246.0,1936.0,2980.0,2262.0,0.21684475172847265,658.0,862.0,1056.0,1894.0,3070.0,2411.0,0.2840677966101695,588.0,803.0,1082.0,1672.0,3047.0,2434.0,0.21423384168482207,569.0,768.0,995.0,1664.0,2966.0,2393.0,0.2515983452425724,614.0,719.0,1020.0,1732.0,3035.0,2356.0,0.25872093023255816,665.0,875.0,1184.0,1788.0,3296.0,2577.0,0.2032301480484522,650.0,877.0,1204.0,1836.0,3420.0,2753.0,0.20789473684210527,767.0,948.0,1294.0,1896.0,3511.0,2767.0,0.1887147335423197,797.0,967.0,1236.0,1788.0,3452.0,2846.0,0.18253968253968253,938.0,1090.0,1412.0,2028.0,3728.0,3051.0,0.17906976744186046,943.0,1114.0,1462.0,2040.0,3714.0,3096.0,0.1650485436893204,827.0,914.0,1142.0,1688.0,2778.0,2452.0,0.1929328621908127,944.0,1106.0,1388.0,2286.0,3937.0,3466.0,0.2444202504082744,3204.0,2942.0,2802.0,3464.0,2965.0,3213.0,0.1056495371848069,328.0,627.0,440.0,3830.0,2263.0,1257.0,0.7939110070257611,224.0,467.0,323.0,3624.0,1869.0,960.0,0.8363313909298201
15,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15,903.0,1194.0,1346.0,2706.0,3705.0,2371.0,0.33563672260612043,3914.0,4012.0,3852.0,5976.0,4718.0,4240.0,0.21611721611721613,154.0,577.0,241.0,4936.0,2564.0,1220.0,0.9068958856480588,87.0,337.0,109.0,5644.0,2096.0,909.0,0.9621067269250826,134.0,375.0,146.0,5556.0,2296.0,1005.0,0.9487898982813048,91.0,396.0,151.0,5444.0,2289.0,1008.0,0.946023235031278,264.0,990.0,940.0,3466.0,2140.0,1175.0,0.5733091239219247,280.0,556.0,962.0,1770.0,2773.0,1736.0,0.2957540263543192,652.0,968.0,1384.0,2056.0,2921.0,2190.0,0.19534883720930232,767.0,1012.0,1408.0,2146.0,3455.0,2721.0,0.2076533483398987,676.0,948.0,1288.0,2030.0,3351.0,2586.0,0.22362869198312235,613.0,874.0,1196.0,1844.0,3208.0,2530.0,0.2131578947368421,646.0,841.0,1230.0,1998.0,3232.0,2516.0,0.2379182156133829,659.0,934.0,1336.0,2076.0,3450.0,2619.0,0.21688159437280188,620.0,916.0,1338.0,2180.0,3540.0,2711.0,0.2393405343945424,774.0,1015.0,1494.0,2230.0,3683.0,2818.0,0.1976369495166488,875.0,1088.0,1520.0,2224.0,3710.0,2888.0,0.18803418803418806,1038.0,1250.0,1708.0,2476.0,4005.0,3071.0,0.1835564053537285,1042.0,1302.0,1748.0,2498.0,4022.0,3188.0,0.17663683466792274,1020.0,1156.0,1414.0,1992.0,3051.0,2553.0,0.16970052847915446,1112.0,1362.0,1792.0,2574.0,4384.0,3690.0,0.17911131470453506,5480.0,5128.0,4704.0,5604.0,4874.0,4805.0,0.08731082654249127,931.0,1266.0,1444.0,3328.0,4030.0,3009.0,0.3948030176026823,803.0,1084.0,1346.0,2880.0,3623.0,2738.0,0.36299100804543305
23,S,-62.20742896225508,-33.844642692435954,115.140739,BC,18/19,23,639.0,1040.0,803.0,3990.0,3456.0,1834.0,0.6649280200292093,2758.0,2762.0,2678.0,5020.0,3302.0,2794.0,0.30423486619901274,98.0,488.0,131.0,6608.0,2590.0,1143.0,0.9611218281644159,46.0,292.0,75.0,6196.0,2084.0,888.0,0.9760803699569448,105.0,350.0,98.0,5556.0,2198.0,950.0,0.9653342766183232,80.0,404.0,116.0,5384.0,2183.0,961.0,0.9578181818181818,271.0,858.0,882.0,3084.0,2028.0,1145.0,0.5552193645990923,967.0,1428.0,2180.0,3244.0,4031.0,2594.0,0.19616519174041294,583.0,813.0,1130.0,1582.0,2520.0,1893.0,0.16666666666666666,695.0,922.0,1264.0,1814.0,3186.0,2546.0,0.17868745938921374,704.0,928.0,1258.0,1726.0,3288.0,2537.0,0.15683646112600536,643.0,868.0,1194.0,1608.0,3262.0,2566.0,0.14775160599571735,733.0,912.0,1226.0,1836.0,3354.0,2594.0,0.1992161985630307,791.0,1006.0,1396.0,1902.0,3507.0,2620.0,0.15342631898120074,764.0,1002.0,1416.0,2002.0,3559.0,2692.0,0.17144528964306613,854.0,1074.0,1492.0,2100.0,3664.0,2674.0,0.16926503340757235,915.0,1054.0,1408.0,1930.0,3579.0,2744.0,0.15638106650689035,895.0,1050.0,1440.0,2098.0,3773.0,2866.0,0.1859807801017524,909.0,1078.0,1462.0,2186.0,3830.0,2946.0,0.19846491228070176,1466.0,1622.0,1892.0,2822.0,4023.0,3206.0,0.1972846839202376,799.0,1080.0,1178.0,2968.0,3738.0,2646.0,0.4317414375301496,4892.0,4572.0,4444.0,5208.0,4830.0,4887.0,0.07915457936179031,182.0,465.0,243.0,4964.0,1679.0,770.0,0.9066641060111388,109.0,315.0,143.0,4876.0,1329.0,539.0,0.9430165371587964
25,N,-62.17222988165713,-33.81601874228309,103.58934,BC,18/19,25,7128.0,7168.0,7036.0,7824.0,6774.0,5798.0,0.05302826379542396,7232.0,7208.0,7060.0,8624.0,6834.0,6216.0,0.09971945932160163,428.0,873.0,789.0,3948.0,2765.0,1475.0,0.6668777707409753,525.0,899.0,979.0,3510.0,2961.0,1710.0,0.5638226776564936,630.0,1017.0,1168.0,3298.0,3139.0,1831.0,0.476936856247201,548.0,950.0,1082.0,3142.0,3052.0,1768.0,0.4876893939393939,525.0,869.0,1062.0,3002.0,2987.0,1750.0,0.4773622047244094,542.0,876.0,1026.0,2990.0,2961.0,1696.0,0.4890438247011952,447.0,706.0,843.0,2586.0,2410.0,1385.0,0.5083114610673666,512.0,818.0,922.0,2762.0,2905.0,1712.0,0.49945711183496205,483.0,797.0,1164.0,2522.0,3188.0,1992.0,0.3684210526315789,402.0,652.0,968.0,1986.0,2990.0,1929.0,0.34461746784021663,559.0,779.0,1162.0,2292.0,3259.0,2108.0,0.3271569195136074,610.0,1004.0,1526.0,2568.0,3614.0,2332.0,0.2545188080117245,645.0,1007.0,1570.0,2542.0,3793.0,2516.0,0.23638132295719844,705.0,1048.0,1604.0,2548.0,3816.0,2455.0,0.22736030828516374,743.0,981.0,1422.0,2194.0,3566.0,2513.0,0.21349557522123894,927.0,1220.0,1698.0,2622.0,4194.0,2857.0,0.21388888888888888,943.0,1180.0,1692.0,2590.0,4069.0,2785.0,0.20971508640822045,1116.0,1328.0,1676.0,2676.0,4104.0,2974.0,0.2297794117647059,872.0,1226.0,1498.0,3106.0,4113.0,2780.0,0.3492615117289314,3338.0,3090.0,3284.0,3946.0,4088.0,4201.0,0.09156293222683264,818.0,1224.0,1366.0,3970.0,3692.0,2339.0,0.4880059970014993,697.0,1102.0,1226.0,3696.0,3485.0,2115.0,0.5018285249898415
