GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
1,S,-33.80020221,-62.14416325,18/19,4,5
14,S,-33.78927132,-62.13119516,18/19,3,4
15,S,-33.79708474,-62.14022651,18/19,4,5
23,S,-33.84464269,-62.20742896,18/19,4,5
33,S,-33.75454493,-62.05285405,18/19,3,4
46,S,-33.74407035,-62.03952703,18/19,3,4
54,S,-33.88840648,-62.13675291,18/19,3,2
57,S,-33.87075753,-62.14647898,18/19,4,3
60,S,-33.87598723,-62.14620109,18/19,3,4
64,S,-33.87825589,-62.1478221,18/19,3,4
72,S,-33.90916528,-62.12438692,18/19,3,4
82,S,-33.86564288,-62.20705845,18/19,3,4
86,S,-33.86679659,-62.1980271,18/19,3,4
88,S,-33.86752726,-62.19506297,18/19,4,5
89,S,-33.84798922,-62.20858683,18/19,4,5
92,S,-33.85191257,-62.21761817,18/19,3,2
105,S,-33.86337388,-62.19015362,18/19,4,3
106,S,-33.86791182,-62.19131149,18/19,4,3
108,S,-33.86914241,-62.18589268,18/19,4,5
110,S,-33.87025761,-62.17954759,18/19,4,5
112,S,-33.87152662,-62.17255408,18/19,4,5
113,S,-33.89413487,-62.07075464,18/19,4,5
121,S,-33.9128552,-62.05366456,18/19,4,5
123,S,-33.90755088,-62.05899073,18/19,4,5
126,S,-33.89909405,-62.05843496,18/19,4,5
128,S,-33.89747946,-62.06024123,18/19,4,3
132,S,-33.85112407,-62.0738114,18/19,3,4
134,S,-33.84781613,-62.07033781,18/19,3,4
136,S,-33.84410416,-62.0677905,18/19,3,4
140,S,-33.87771757,-62.07506189,18/19,3,4
144,S,-33.87091135,-62.08261117,18/19,3,4
151,S,-33.93345434,-62.08955836,18/19,3,4
153,S,-33.91012621,-62.1182734,18/19,4,3
159,S,-33.92500007,-62.10535163,18/19,3,4
165,S,-33.91673713,-62.05829602,18/19,4,5
166,S,-33.92054203,-62.05445191,18/19,4,5
168,S,-33.91915845,-62.05070042,18/19,4,5
169,S,-33.93222468,-62.08738157,18/19,3,4
170,S,-33.93552935,-62.08363009,18/19,3,4
172,S,-33.93214782,-62.07918389,18/19,3,4
173,S,-33.92696,-62.07779445,18/19,3,4
174,S,-33.92991902,-62.07478401,18/19,4,5
175,S,-33.92346284,-62.07181987,18/19,4,5
176,S,-33.92753644,-62.06922626,18/19,4,5
177,S,-33.64507642,-61.99635027,18/19,4,5
186,S,-33.67903775,-61.96318903,18/19,4,3
187,S,-33.65698947,-61.98731892,18/19,4,3
189,S,-33.65444508,-61.98977359,18/19,4,3
191,S,-33.65028136,-61.99283036,18/19,4,3
195,S,-33.61129455,-62.01459821,18/19,3,4
196,S,-33.60886452,-62.01066147,18/19,3,4
