GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
217,R,-33.83856475,-62.06735052,18/19,4,5
219,G,-33.8275041,-62.05827286,18/19,3,4
238,M,-33.79937474,-62.0037606,18/19,3,4
310,G,-33.55740319,-61.92921728,18/19,3,4
322,R,-33.54810119,-61.94283377,18/19,3,2
473,R,-33.67123285,-61.52113952,18/19,4,5
511,R,-33.68298812,-61.56675938,18/19,4,3
551,R,-33.59949816,-61.89829047,19/20,4,5
555,R,-33.58854171,-61.90648815,19/20,1,2
557,R,-33.62996831,-61.87508686,19/20,4,3
559,R,-33.61893859,-61.88337717,19/20,4,5
572,M,-33.65437522,-61.83175957,19/20,2,3
573,R,-33.58468347,-61.90871125,19/20,3,2
577,R,-33.57272183,-61.91718682,19/20,3,2
665,m,-33.70324534,-61.78752915,19/20,4,5
676,aa,-33.69363153,-61.80186351,19/20,4,5
751,G,-33.84602359,-62.07488832,19/20,4,5
755,M,-33.83729136,-62.06659801,19/20,1,2
761,M,-33.79334743,-61.98920635,19/20,1,2
773,G,-33.90174262,-62.12067028,19/20,3,4
777,G,-33.91350472,-62.1162704,19/20,4,5
793,M,-33.86198548,-62.08313232,19/20,1,2
795,G,-33.85267795,-62.08192814,19/20,4,5
825,R,-33.60578592,-61.89389058,19/20,3,4
840,G,-33.83697549,-61.51719095,19/20,3,4
848,G,-33.85024663,-61.68299714,19/20,3,4
902,M,-33.68735018,-61.3480501,19/20,4,3
908,R,-33.70966037,-61.3175288,19/20,4,5
916,G,-33.81893113,-61.42006927,19/20,4,5
920,R,-33.81181237,-61.39269736,19/20,4,5
924,G,-33.82778065,-61.46967219,19/20,3,2
