GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
6,N,-33.8080916,-62.16361537,18/19,16,15
10,N,-33.77589447,-62.09946968,18/19,22,21
25,N,-33.81601874,-62.17222988,18/19,22,21
26,N,-33.81297881,-62.17375826,18/19,22,21
27,N,-33.81782726,-62.17422141,18/19,22,21
49,N,-33.87944788,-62.14194015,18/19,18,19
55,N,-33.8867148,-62.13087096,18/19,7,6
61,N,-33.87617949,-62.14184752,18/19,5,4
62,N,-33.87517972,-62.14578426,18/19,22,21
65,N,-33.89413487,-62.12318274,18/19,12,11
73,N,-33.8916744,-62.12975941,18/19,22,21
80,N,-33.90005509,-62.12387746,18/19,12,11
93,N,-33.85898953,-62.2116899,18/19,18,19
94,N,-33.86387383,-62.21400563,18/19,18,19
117,N,-33.88813735,-62.07520084,18/19,12,13
118,N,-33.88533067,-62.06913363,18/19,12,13
119,N,-33.88521533,-62.07714605,18/19,12,13
149,N,-33.93514509,-62.09405087,18/19,12,11
150,N,-33.93860334,-62.08932678,18/19,12,13
220,N,-33.8296394,-62.05424349,18/19,12,13
221,N,-33.82377201,-62.05051517,18/19,12,13
222,N,-33.82640757,-62.0493573,18/19,12,13
224,N,-33.82583045,-62.044749,18/19,12,13
306,N,-33.67764063,-61.91944491,18/19,12,13
308,N,-33.68037704,-61.92525739,18/19,12,13
585,N,-33.6798929,-61.92575501,19/20,15,16
586,N,-33.68594356,-61.9196878,19/20,11,12
587,N,-33.67831272,-61.92223511,19/20,15,16
620,N,-33.77236798,-62.09045581,19/20,15,16
693,N,-33.8804341,-62.14275076,19/20,13,14
694,N,-33.88177986,-62.14476544,19/20,18,19
707,N,-33.87541136,-62.14209657,19/20,17,18
724,N,-33.80801555,-62.1619771,19/20,17,16
743,N,-33.82521096,-62.05557514,19/20,15,16
787,N,-33.89653372,-62.12298601,19/20,15,16
915,N,-33.81285136,-61.42169029,19/20,15,16
998,N,-33.50884697,-61.42514622,19/20,15,16
1000,N,-33.51754052,-61.4450236,19/20,15,16
1003,N,-33.52588,-61.469001,19/20,15,16
1026,N,-33.4789247,-61.55256212,19/20,15,16
1027,N,-33.48669099,-61.55879815,19/20,15,16
1029,N,-33.49865435,-61.58288001,19/20,15,16
1046,N,-33.55123355,-61.6812144,19/20,15,16
1062,N,-33.59119025,-61.74115268,19/20,15,16
1106,N,-33.67773405,-61.92431957,19/20,15,16
1107,N,-33.68959016,-61.92254799,19/20,15,16
1126,N,-33.77509303,-62.09765868,19/20,15,16
1128,N,-33.78567542,-62.10894036,19/20,5,4
1129,N,-33.79296863,-62.11445388,19/20,4,3
1136,N,-33.80240043,-62.15455434,19/20,8,7
1137,N,-33.80820508,-62.1631286,19/20,15,16
1139,N,-33.81436823,-62.17761013,19/20,18,19
1142,N,-33.82508265,-62.20233915,19/20,18,19
1154,N,-33.87489595,-62.22106785,19/20,17,18
1156,N,-33.89068537,-62.23739957,19/20,18,17
1163,N,-33.92164713,-62.24345033,19/20,2,3
1191,N,-34.05804699,-62.32050756,19/20,16,17
1198,N,-34.08410922,-62.34928811,19/20,14,13
1208,N,-34.10519668,-62.39566758,19/20,7,8
1227,N,-34.17008793,-62.50313824,19/20,8,9
1235,N,-34.20141501,-62.57035525,19/20,17,18
1242,N,-34.24424897,-62.65179934,19/20,19,18
1248,N,-34.27293395,-62.68736397,19/20,14,15
1250,N,-34.29166891,-62.69433148,19/20,14,13
1259,N,-34.31000053,-62.78814287,19/20,3,2
1268,N,-34.34878307,-62.83023895,19/20,14,13
1269,N,-34.35494948,-62.83579194,19/20,14,15
1270,N,-34.37532679,-62.86168788,19/20,14,13
1278,N,-34.34504743,-62.08221043,19/20,2,1
1295,N,-34.26976271,-62.03081142,19/20,15,16
1315,N,-34.12641914,-62.01168986,19/20,15,16
1327,N,-34.06859185,-61.96635643,19/20,15,16
1351,N,-33.9468027,-61.87061717,19/20,15,16
1373,N,-33.83177397,-61.76223997,19/20,15,16
1410,N,-33.73503884,-61.63713401,19/20,15,16
1437,N,-33.67691233,-61.5132599,19/20,15,16
1439,N,-33.67086062,-61.50449572,19/20,11,12
1440,N,-33.66480356,-61.49077197,19/20,15,16
