GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
38,P,-33.76565351,-62.07987861,18/19,6,5
39,P,-33.77395032,-62.08897942,18/19,9,8
101,P,-33.86956542,-62.15662187,18/19,6,7
120,P,-33.8826777,-62.07154199,18/19,6,7
207,P,-33.61596156,-62.01223617,18/19,6,7
433,P,-33.81673061,-61.72751729,18/19,6,5
435,P,-33.83766072,-61.70903777,18/19,10,9
463,P,-33.64451736,-61.40903508,18/19,5,6
466,P,-33.64399684,-61.39891534,18/19,5,6
483,P,-33.63888793,-61.39884587,18/19,7,6
629,P,-33.78677506,-62.11790878,19/20,6,7
633,P,-33.79328488,-62.13576884,19/20,9,10
637,P,-33.77733422,-62.09570094,19/20,7,6
638,P,-33.77574621,-62.09741458,19/20,5,4
640,P,-33.77771919,-62.10063344,19/20,6,7
642,P,-33.78109721,-62.1067817,19/20,5,4
649,P,-33.67609656,-61.80915806,19/20,7,8
650,P,-33.67815855,-61.81316427,19/20,7,6
651,P,-33.67925697,-61.8069118,19/20,6,7
674,P,-33.69087627,-61.80422556,19/20,5,4
677,P,-33.86818193,-62.17269893,19/20,9,8
679,P,-33.86899912,-62.16739591,19/20,7,6
681,P,-33.87000857,-62.16142133,19/20,11,12
683,P,-33.87111415,-62.15586358,19/20,7,6
700,P,-33.88839298,-62.13424046,19/20,6,7
711,P,-33.81548095,-62.17158738,19/20,7,8
712,P,-33.81292201,-62.1730926,19/20,5,4
738,P,-33.8273415,-62.20282656,19/20,5,6
742,P,-33.83252096,-62.05789087,19/20,6,5
744,P,-33.82786572,-62.05242575,19/20,9,10
762,P,-33.79515642,-61.98642748,19/20,5,4
764,P,-33.7926931,-61.9811013,19/20,6,7
781,P,-33.89363121,-62.1292848,19/20,6,7
822,P,-33.6538629,-62.30030138,19/20,9,10
841,P,-33.84547695,-61.69330214,19/20,5,4
853,P,-33.81192631,-61.87963184,19/20,9,10
877,P,-33.81496778,-61.85943254,19/20,5,4
903,P,-33.67885229,-61.36912324,19/20,5,4
904,P,-33.67586531,-61.36497808,19/20,7,8
922,P,-33.83370547,-61.49885038,19/20,10,9
945,P,-33.64357997,-61.40784223,19/20,7,8
947,P,-33.63806615,-61.39723619,19/20,5,4
948,P,-33.64111229,-61.39431837,19/20,7,8
950,P,-33.63621529,-61.38352707,19/20,9,10
953,P,-33.66543895,-61.39065952,19/20,7,8
955,P,-33.66108302,-61.3969583,19/20,5,4
956,P,-33.65668831,-61.39019637,19/20,7,8
960,P,-33.64893921,-61.40381286,19/20,6,7
1006,P,-33.52316339,-61.48311345,19/20,11,12
1066,P,-33.59619665,-61.76121881,19/20,10,9
1083,P,-33.63129092,-61.81537052,19/20,5,4
1084,P,-33.627898,-61.81849795,19/20,9,10
1230,P,-34.18253743,-62.52910708,19/20,6,7
1319,P,-34.09858157,-61.99683643,19/20,5,4
