GlobalId,Cultivo,Latitud,Longitud,Campania,best_q,best_q2
386,s,-33.83489085,-61.78397476,18/19,5,4
596,s,-33.69840335,-62.06142525,19/20,5,4
602,s,-33.66166125,-61.87619841,19/20,7,8
678,s,-33.87003742,-62.17327786,19/20,5,4
680,s,-33.87118145,-62.16812536,19/20,5,4
706,s,-33.87494031,-62.14580173,19/20,5,4
708,s,-33.87511335,-62.14495649,19/20,5,4
752,s,-33.8480238,-62.07062738,19/20,5,4
754,s,-33.84310013,-62.06696853,19/20,5,4
828,s,-33.8324359,-61.7841945,19/20,5,4
836,s,-33.8526506,-61.6715806,19/20,5,4
839,s,-33.83335923,-61.51881196,19/20,5,4
879,s,-33.81675708,-61.84891913,19/20,5,4
891,s,-33.7534162,-61.38060925,19/20,5,4
905,s,-33.71925313,-61.33535991,19/20,5,4
906,s,-33.72441505,-61.33137685,19/20,5,4
909,s,-33.71046944,-61.32697697,19/20,5,4
933,s,-33.77012688,-61.36926218,19/20,5,4
936,s,-33.75865307,-61.37069793,19/20,5,4
943,s,-33.78244603,-61.35953612,19/20,5,4
984,s,-33.48679375,-61.3861201,19/20,5,4
1021,s,-33.47306675,-61.53600654,19/20,5,4
1024,s,-33.47986872,-61.54067338,19/20,6,7
1030,s,-33.51779539,-61.60219183,19/20,5,4
1035,s,-33.52753987,-61.62109519,19/20,5,4
1043,s,-33.54399365,-61.6519335,19/20,5,4
1052,s,-33.56062094,-61.69764249,19/20,5,4
1060,s,-33.58820681,-61.73397546,19/20,5,4
1061,s,-33.58480809,-61.74236212,19/20,5,4
1067,s,-33.59691756,-61.76424869,19/20,5,4
1073,s,-33.60719201,-61.78334995,19/20,5,4
1081,s,-33.62325132,-61.79837482,19/20,5,4
1088,s,-33.63617186,-61.82266962,19/20,5,4
1090,s,-33.63511816,-61.83592294,19/20,5,4
1103,s,-33.67271753,-61.89674946,19/20,5,4
1105,s,-33.67750441,-61.90758601,19/20,5,4
1113,s,-33.71809782,-61.99408237,19/20,5,4
1114,s,-33.7370646,-62.01515682,19/20,5,4
1120,s,-33.75293884,-62.04496571,19/20,5,4
1124,s,-33.75970593,-62.06026753,19/20,7,6
1130,s,-33.78326494,-62.12557262,19/20,5,4
1131,s,-33.7926506,-62.12622332,19/20,6,5
1143,s,-33.83566508,-62.20417791,19/20,5,4
1146,s,-33.84151208,-62.2079293,19/20,6,5
1150,s,-33.85476004,-62.21882459,19/20,5,4
1151,s,-33.857868,-62.21229766,19/20,5,4
1158,s,-33.89587049,-62.22677076,19/20,5,4
1166,s,-33.93045921,-62.2492671,19/20,6,5
1172,s,-33.95893139,-62.27624188,19/20,5,4
1176,s,-33.9932128,-62.26393177,19/20,5,6
1181,s,-34.01284252,-62.27760893,19/20,5,4
1185,s,-34.02662656,-62.28426237,19/20,5,6
1193,s,-34.07508683,-62.33338621,19/20,5,4
1195,s,-34.07335536,-62.3418204,19/20,5,4
1211,s,-34.11365214,-62.4084252,19/20,5,4
1213,s,-34.12463651,-62.41617174,19/20,5,4
1240,s,-34.22220343,-62.61108089,19/20,5,6
1253,s,-34.30910134,-62.74746839,19/20,5,6
1255,s,-34.30477597,-62.76697151,19/20,5,6
1261,s,-34.31231783,-62.80215577,19/20,6,5
1267,s,-34.33977763,-62.83022273,19/20,6,5
1271,s,-34.37504,-62.11338399,19/20,5,4
1272,s,-34.37142485,-62.11314742,19/20,5,4
1276,s,-34.35427599,-62.10334114,19/20,5,4
1289,s,-34.30641371,-62.04108529,19/20,5,6
1293,s,-34.27715914,-62.03105471,19/20,5,4
1321,s,-34.08969999,-61.989205,19/20,5,4
1324,s,-34.08407143,-61.98354043,19/20,5,4
1326,s,-34.07654985,-61.97430643,19/20,5,4
1331,s,-34.04529671,-61.94447472,19/20,5,4
1340,s,-34.00403562,-61.92167774,19/20,5,4
1341,s,-33.99922201,-61.91259012,19/20,6,7
1343,s,-33.99324724,-61.8919845,19/20,5,4
1349,s,-33.96992582,-61.87817872,19/20,6,5
1350,s,-33.95523632,-61.87702891,19/20,5,4
1361,s,-33.89435496,-61.82974677,19/20,5,4
1367,s,-33.87239614,-61.80338143,19/20,5,4
1382,s,-33.78954061,-61.72200591,19/20,5,4
1391,s,-33.76962423,-61.69932345,19/20,5,4
1401,s,-33.75184447,-61.66772842,19/20,5,4
1403,s,-33.75032263,-61.66228705,19/20,5,4
1412,s,-33.72506597,-61.62830826,19/20,5,4
1414,s,-33.71783183,-61.62402177,19/20,5,4
1417,s,-33.7111076,-61.61797338,19/20,5,4
1421,s,-33.70386035,-61.59747845,19/20,5,4
1424,s,-33.69479629,-61.58946935,19/20,5,4
1433,s,-33.68681299,-61.55603018,19/20,5,4
